,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Label
62,0.000640102,-0.004546237,0.001564402,-0.004550549,0.001354318,-0.001647536,0.001000895,-5.15E-05,-5.34E-06,-0.001164265,4
63,0.000940306,-0.006767621,0.002037284,-0.006548912,0.00196924,-0.002535666,0.001498482,-9.11E-05,5.34E-06,-0.00138805,4
64,0.002147982,-0.016358797,6.72E-05,-0.007166172,0.002587596,-0.004787153,0.00257377,-0.000229708,5.15E-05,-0.002673522,3
65,0.002901052,-0.003639517,0.001418866,-0.004621281,-0.003394376,-0.001642638,-0.003574538,-5.20E-05,0.000799601,0.00019525,4
66,0.008252231,-0.000500975,0.000720171,-0.004401767,-0.021810311,0.000252005,-0.016237767,0.003082525,0.003645789,-0.000826891,10
67,0.024218635,0.001875456,0.000439965,-0.00411174,-0.029406367,0.002016605,-0.008205487,-0.019457233,-0.006672257,-8.89E-05,10
68,0.00140225,-0.009591267,0.003214672,-0.009543686,0.002570585,-0.005000537,0.002324432,-5.39E-05,0.000132597,-0.002412065,3
69,0.002047943,-0.015071529,0.001426309,-0.008620637,0.002751764,-0.004776679,0.002334332,-0.000160027,0.000222361,-0.002982817,3
70,0.001854401,-0.013992063,-0.000289268,-0.005497482,0.001688857,-0.00402317,0.001707517,4.41E-05,9.17E-05,-0.00256954,3
71,0.001333083,-0.009125132,0.003202563,-0.00887459,0.002622879,-0.004847246,0.002170177,-0.00018456,-1.20E-05,-0.002170386,3
72,0.031388773,0.003549782,0.00030375,-0.005054079,-0.057532633,0.008110865,0.012000415,-0.040749561,-0.093409331,-0.002243254,2
73,0.009316717,-0.001042621,0.000917183,-0.004934133,-0.020439284,-0.000214385,-0.014608744,0.003700111,0.010132019,-0.001171476,10
74,0.007672331,-0.096763066,-0.077726665,0.092767807,-0.011771694,0.014721297,-0.005296751,-2.06E-05,0.000247027,0.003831879,8
75,0.001265446,-0.006646856,0.015687692,0.003128471,-0.000758674,-0.001320846,-0.00149746,0.000731236,0.001038195,0.078061818,4
76,0.005320159,-0.0023918,0.001114878,-0.003884467,-0.005900803,-0.001044277,-0.004015574,0.002336264,0.003731836,0.000147889,4
77,0.001796954,-0.015355394,-0.001886806,-0.002567765,0.001809066,-0.002893351,0.001900333,-0.000182765,0.000133919,-0.001454316,3
78,0.001129653,-0.000114687,0.00011424,-0.000663676,-0.002904178,1.72E-05,-0.00244913,-6.73E-05,7.19E-05,-0.000172584,4
79,0.007672331,-0.096763066,-0.077726665,0.092767807,-0.011771694,0.014721297,-0.005296751,-2.06E-05,0.000247027,0.003831879,8
